,player_name,kills,deaths,wins,losess,xp,headshots,melee_kills,games_played,time_played
3077,Karmxce,22727,20718,2938,2652,56847731,8533,398,5590,1546
3078,Ramaw-Nova,26237,19978,2592,1874,62363948,9807,508,4466,1500
3079,JMaN1138,30416,25432,3574,2572,81735254,12410,468,6146,1893
3080,Yousif-Nova,18505,10995,2591,1154,40326489,6727,193,3745,920
3081,BielBelaVista-ZK,30018,30258,3892,3039,100063709,11249,301,6931,2244
3082,Teen-_-Wolfs23ir,5296,3836,569,364,12498059,1986,59,933,291
3083,RoyaIMack,31845,24788,3926,2771,72250484,12134,527,6697,1830
3084,Vactly,11760,11959,1588,1415,30870739,4409,522,3003,832
3085,Dragon13802,17504,20031,2251,1996,45794472,6028,524,4247,1367
3086,jochboy235,18953,16453,2361,1939,53491860,7215,250,4300,1270
3087,DVD2004420,2382,1357,239,124,4528009,1147,29,363,104
3088,Maxonn,30275,29358,3596,3364,84084912,12503,315,6960,2197
3089,Fxlps_,6530,4636,687,478,16753312,2253,109,1165,387
3090,iMAIK-DEVED,27546,21525,4130,2094,87972846,11862,162,6224,2093
3091,O-llSll,23384,15765,2698,2165,59053055,9057,421,4863,1415
3092,DaZe_Sea,10508,8812,1986,837,25323774,4660,79,2823,602
3093,SyDs7I,40580,34279,4779,3642,97853304,16778,413,8421,2585
3094,G0d1y_N00b9,12719,11835,1402,1202,30442587,4592,202,2604,797
3095,G1_HorIzoN_,1104,640,128,60,2780541,425,10,188,60
3096,notnex-,6398,4493,734,434,15758388,2406,38,1168,379
3097,Mheidle,15576,11487,1589,1272,41027040,6697,217,2861,900
3098,DevilZ-_-K,10816,6596,1299,870,29319051,3586,190,2169,645
3099,x-Portooos,24860,14894,2932,1363,56277147,9682,379,4295,1257
3100,Krzyewski,28014,21194,3612,2161,67922184,11747,504,5773,1589
3101,oiRinley,5497,4695,576,494,15219843,2169,59,1070,331
3102,DevilZ-_-K,31213,28309,3620,3100,84367472,13181,583,6720,2103
3103,notnex-,34036,25402,4024,2758,74452684,12447,937,6782,1787
3104,vShoxxy--,20163,13421,2649,1569,51342336,7869,238,4218,1233
3105,FmK_AcZiN_TW,27842,28166,3536,3074,75233820,13140,341,6610,2101
3106,Nicolol120,19606,14698,2286,1693,50015537,7964,141,3979,1181
3107,DrWarHead,20918,15259,2456,1506,50303096,9304,243,3962,1220
3108,Luis_Manuel107,15436,13649,1783,1362,35769843,6942,211,3145,919
3109,iSuPreMeKillaZzz,15558,10802,1637,1101,43045999,4727,272,2738,887
